                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.63473,                 1.0923,                0.53908,                  1.117,                0.99243,                0.89831,                0.92471,                0.75594,                0.97371,                0.88136,                0.91466,                0.70033,                0.72089,                 1.8416,                 0.8805,                 1.0982,              0.0015446,              0.0015446,              0.0015446
                     25,                0.57768,                 1.0996,                0.48343,                 1.0896,                0.94377,                0.89831,                0.91609,                0.73727,                0.94377,                0.89831,                0.91609,                0.69738,                0.79333,                 1.8591,                0.95963,                 1.2245,              0.0015248,              0.0015248,              0.0015248
                     26,                0.65214,                 1.1205,                0.49512,                 1.1208,                 0.9792,                0.91525,                0.92152,                0.74355,                 0.9792,                0.91525,                0.92122,                0.71305,                0.76676,                 1.5716,                0.78078,                 1.2485,               0.001505,               0.001505,               0.001505
                     27,                0.64041,                 1.0636,                0.49943,                 1.1145,                0.99569,                0.88136,                0.93835,                0.74536,                0.99569,                0.88136,                0.93708,                0.73727,                0.81347,                 1.3814,                 0.7776,                 1.2947,              0.0014852,              0.0014852,              0.0014852
                     28,                 0.6135,                 1.0478,                0.49862,                 1.1235,                0.94474,                0.89831,                 0.9468,                0.78103,                0.96269,                0.91525,                0.94976,                0.74587,                0.72096,                 1.4843,                0.62095,                 1.1988,              0.0014654,              0.0014654,              0.0014654
                     29,                0.60677,                 1.0064,                0.48332,                 1.0972,                0.98074,                0.91525,                 0.9385,                0.79672,                0.98074,                0.91525,                0.93832,                0.76337,                 0.6353,                 1.5817,                0.81552,                 1.0798,              0.0014456,              0.0014456,              0.0014456
                     30,                0.64073,                  1.124,                0.51727,                 1.1269,                0.90095,                0.88136,                0.93441,                0.76045,                0.90604,                0.88136,                0.93183,                 0.7465,                0.72808,                 1.4384,                0.83671,                 1.1181,              0.0014258,              0.0014258,              0.0014258
                     31,                0.59817,                0.99006,                0.47517,                 1.0874,                0.94091,                0.88136,                0.91829,                 0.7195,                0.94091,                0.88136,                0.91829,                0.70737,                0.73026,                 1.4801,                 0.7624,                  1.144,               0.001406,               0.001406,               0.001406
                     32,                0.59709,                0.99516,                 0.4785,                 1.0984,                0.98105,                0.87733,                0.91799,                0.75231,                0.98105,                0.87733,                0.91767,                0.71479,                0.73204,                 1.6284,                0.79387,                 1.1336,              0.0013862,              0.0013862,              0.0013862
                     33,                0.55362,                0.92531,                0.43575,                 1.0718,                0.96135,                0.88136,                0.89791,                0.76324,                0.96135,                0.88136,                0.89949,                0.68365,                0.63812,                 2.4183,                 1.0131,                 1.0377,              0.0013664,              0.0013664,              0.0013664
                     34,                0.56976,                 1.0794,                0.44399,                 1.0894,                0.94255,                0.94915,                0.94778,                0.78747,                  0.962,                 0.9322,                0.93656,                 0.7381,                0.63564,                 1.6554,                 0.5914,                  1.069,              0.0013466,              0.0013466,              0.0013466
                     35,                0.61607,                 1.1408,                 0.4716,                 1.0985,                 0.9148,                0.89831,                0.92934,                0.70508,                0.91627,                0.92741,                0.92691,                0.67688,                0.81556,                 1.8686,                0.64414,                 1.2597,              0.0013268,              0.0013268,              0.0013268
                     36,                 0.5706,                0.98949,                0.45497,                 1.0823,                0.84297,                 0.9099,                0.91732,                0.74725,                0.84297,                 0.9099,                0.91732,                0.72649,                0.71705,                 1.4177,                0.67813,                  1.159,               0.001307,               0.001307,               0.001307
                     37,                0.57413,                 1.0276,                0.46211,                 1.0904,                0.92832,                0.87811,                0.91981,                 0.7448,                0.95965,                0.84746,                0.91759,                 0.7098,                0.65693,                 1.5883,                0.69519,                 1.0956,              0.0012872,              0.0012872,              0.0012872
                     38,                0.56237,                0.99794,                0.45759,                 1.0571,                0.90924,                0.89831,                0.93054,                0.78382,                  0.944,                0.85727,                0.92974,                0.75358,                0.62276,                  1.514,                0.59314,                 1.0259,              0.0012674,              0.0012674,              0.0012674
                     39,                0.52307,                0.87523,                0.39304,                 1.0467,                0.91331,                 0.8929,                 0.9408,                 0.7553,                0.95219,                0.83051,                0.93734,                0.70961,                0.69474,                 1.8431,                0.62452,                 1.0904,              0.0012476,              0.0012476,              0.0012476
                     40,                0.57727,                0.95254,                0.44309,                 1.0781,                0.87064,                0.91266,                 0.9249,                0.72174,                0.85447,                0.89571,                0.91073,                0.63051,                0.74704,                 2.1992,                0.69133,                 1.1633,              0.0012278,              0.0012278,              0.0012278
                     41,                0.56997,                0.97675,                0.44616,                  1.092,                0.89988,                0.91402,                0.92564,                0.73328,                0.89988,                0.91402,                0.92564,                0.67484,                0.70352,                 1.7091,                0.58595,                 1.1511,               0.001208,               0.001208,               0.001208
                     42,                0.55778,                0.93125,                0.43233,                 1.0741,                0.90487,                0.86441,                0.93855,                0.73924,                0.92262,                0.88136,                 0.9498,                0.69816,                0.70028,                 1.5804,                0.61916,                 1.1143,              0.0011882,              0.0011882,              0.0011882
                     43,                0.56417,                 1.0418,                0.42467,                 1.0998,                0.98128,                0.88833,                0.94846,                0.77722,                0.98128,                0.88833,                 0.9482,                0.71061,                0.68319,                 1.6131,                0.64464,                 1.1042,              0.0011684,              0.0011684,              0.0011684
                     44,                0.57837,                0.96048,                0.42598,                 1.1176,                0.93088,                0.91309,                0.92826,                0.76859,                 0.9615,                0.86441,                0.92826,                0.69924,                0.63377,                 1.5511,                0.56168,                 1.1175,              0.0011486,              0.0011486,              0.0011486
                     45,                 0.5153,                0.88777,                0.39902,                 1.0338,                0.96423,                0.91373,                0.93502,                0.73325,                0.96352,                0.89542,                0.93209,                0.71692,                0.68144,                 1.4164,                0.60933,                  1.172,              0.0011288,              0.0011288,              0.0011288
                     46,                0.54505,                 1.0598,                0.41446,                 1.0663,                0.97468,                0.89831,                0.93163,                0.74687,                0.98104,                0.87685,                0.91787,                0.71296,                  0.718,                 1.5462,                0.55872,                 1.2026,               0.001109,               0.001109,               0.001109
                     47,                0.52338,                 0.8977,                0.40562,                 1.0695,                0.99571,                0.88136,                0.91962,                 0.7759,                0.99862,                0.86441,                 0.9053,                0.73408,                0.59336,                 1.5207,                0.61937,                 1.0488,              0.0010892,              0.0010892,              0.0010892
                     48,                0.52865,                0.92482,                0.42066,                 1.0461,                      1,                0.87992,                0.89713,                0.73584,                0.98074,                0.86319,                0.88286,                0.71151,                0.67426,                 1.5683,                0.68694,                 1.0848,              0.0010694,              0.0010694,              0.0010694
                     49,                0.48239,                 0.8733,                0.37182,                 1.0268,                0.99403,                0.88136,                0.91989,                0.76551,                0.97917,                0.88136,                0.91213,                0.72794,                0.60334,                 1.5198,                0.60931,                  1.043,              0.0010496,              0.0010496,              0.0010496
                     50,                0.50955,                0.82828,                0.38618,                 1.0484,                0.97968,                0.84746,                0.93375,                0.77049,                0.98633,                0.84746,                0.92373,                0.73623,                0.60626,                 1.5742,                0.58499,                 1.0479,              0.0010298,              0.0010298,              0.0010298
                     51,                0.50248,                0.89938,                0.40419,                 1.0474,                0.97925,                0.91525,                0.94269,                0.79002,                0.98144,                0.89625,                0.93091,                0.74663,                0.58627,                 1.4975,                0.56115,                 1.0362,                0.00101,                0.00101,                0.00101
                     52,                 0.4568,                0.78604,                0.36612,                 1.0108,                      1,                0.91402,                0.94302,                0.80488,                0.98146,                0.89707,                  0.934,                0.74677,                 0.5759,                 1.5934,                0.52839,                 1.0294,              0.0009902,              0.0009902,              0.0009902
                     53,                0.50823,                0.84904,                0.37962,                 1.0337,                      1,                0.91385,                0.93235,                0.80274,                0.98146,                0.89702,                0.92517,                0.74999,                0.55235,                 1.5752,                0.53677,                0.98247,              0.0009704,              0.0009704,              0.0009704
                     54,                0.50537,                0.84157,                0.37332,                 1.0166,                0.96156,                0.84807,                0.91725,                0.77058,                0.96156,                0.84807,                0.91286,                0.73095,                0.59173,                 1.5264,                0.84926,                 1.0521,              0.0009506,              0.0009506,              0.0009506
                     55,                0.51562,                0.87156,                0.38491,                 1.0433,                0.94512,                0.87578,                0.92039,                0.77546,                0.94076,                0.86441,                 0.9084,                0.72061,                0.64396,                 1.6035,                0.64945,                 1.1304,              0.0009308,              0.0009308,              0.0009308
                     56,                 0.4949,                0.87354,                0.38712,                  1.016,                0.99786,                0.88136,                0.92883,                0.77951,                0.97853,                0.86441,                0.92278,                0.74004,                0.66135,                 1.4904,                0.63066,                 1.1218,               0.000911,               0.000911,               0.000911
                     57,                 0.4859,                0.82526,                0.37619,                 1.0343,                0.99946,                0.89831,                 0.9302,                0.79544,                 0.9806,                0.88136,                0.91895,                0.74368,                0.59975,                 1.5177,                0.59101,                 1.0392,              0.0008912,              0.0008912,              0.0008912
                     58,                 0.4896,                 0.9088,                0.37502,                 1.0369,                0.96361,                0.89759,                0.93627,                0.79612,                0.99612,                0.86441,                0.93058,                0.75332,                0.58109,                 1.4209,                0.53091,                 1.0464,              0.0008714,              0.0008714,              0.0008714
                     59,                0.48404,                0.83546,                0.39174,                 1.0337,                0.96217,                0.91525,                0.93414,                0.79394,                0.98106,                0.87805,                0.93292,                 0.7499,                0.54438,                  1.488,                 0.5175,                 1.0249,              0.0008516,              0.0008516,              0.0008516
                     60,                0.48439,                0.84684,                0.38731,                 1.0382,                 0.9811,                0.87963,                0.92804,                0.81574,                0.99528,                0.86441,                0.92669,                0.74412,                0.49744,                 1.4795,                0.53127,                0.97026,              0.0008318,              0.0008318,              0.0008318
                     61,                0.50956,                0.89586,                0.39255,                 1.0549,                0.98039,                0.89831,                0.93101,                0.80329,                0.99627,                0.86441,                0.92992,                0.74956,                0.56268,                 1.4188,                0.54311,                  1.025,               0.000812,               0.000812,               0.000812
                     62,                0.46855,                0.82021,                0.37291,                 1.0193,                0.97945,                0.88136,                0.93597,                0.83156,                0.97945,                0.88136,                0.93647,                0.76819,                 0.5393,                 1.3586,                0.53997,                0.99851,              0.0007922,              0.0007922,              0.0007922
                     63,                0.48234,                0.88344,                0.37231,                 1.0405,                0.98139,                0.89405,                0.93798,                0.82173,                   0.98,                0.88136,                0.93117,                0.76466,                0.53573,                 1.3507,                0.52175,                0.99437,              0.0007724,              0.0007724,              0.0007724
                     64,                0.48004,                0.84339,                0.38103,                 1.0221,                0.96116,                0.89831,                0.93921,                0.80145,                0.98131,                0.86441,                0.93644,                0.75682,                0.59473,                 1.3337,                 0.5482,                 1.0307,              0.0007526,              0.0007526,              0.0007526
                     65,                 0.4611,                0.70385,                0.36922,                 1.0175,                      1,                0.89179,                0.93041,                 0.7695,                      1,                0.87987,                0.92955,                0.73387,                0.57696,                 1.3806,                0.54411,                 1.0258,              0.0007328,              0.0007328,              0.0007328
