                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.07593,                0.77931,                      1,                0.49716,             0.00024747,             0.00024747,             0.00024747
                     68,                0.08738,                0.78966,                      1,                0.49616,              0.0002404,              0.0002404,              0.0002404
                     69,                0.07951,                0.79655,                      1,                 0.5426,             0.00023334,             0.00023334,             0.00023334
                     70,                0.08706,                0.80345,                      1,                0.48906,             0.00022627,             0.00022627,             0.00022627
                     71,                0.06778,                    0.8,                      1,                0.53415,              0.0002192,              0.0002192,              0.0002192
                     72,                0.06657,                0.77586,                      1,                0.51382,             0.00021213,             0.00021213,             0.00021213
                     73,                0.08394,                 0.7931,                      1,                0.53598,             0.00020506,             0.00020506,             0.00020506
                     74,                0.07047,                0.79655,                      1,                0.49036,             0.00019799,             0.00019799,             0.00019799
                     75,                0.07382,                0.78621,                      1,                0.51401,             0.00019092,             0.00019092,             0.00019092
                     76,                0.06546,                 0.7931,                      1,                0.52906,             0.00018385,             0.00018385,             0.00018385
                     77,                0.06603,                0.80345,                      1,                0.49858,             0.00017679,             0.00017679,             0.00017679
                     78,                0.06882,                0.78276,                      1,                 0.5414,             0.00016972,             0.00016972,             0.00016972
                     79,                0.06137,                0.77931,                      1,                0.49715,             0.00016265,             0.00016265,             0.00016265
                     80,                 0.0671,                0.77586,                      1,                 0.5185,             0.00015558,             0.00015558,             0.00015558
                     81,                0.07432,                0.78621,                      1,                0.56691,             0.00014851,             0.00014851,             0.00014851
                     82,                0.06373,                0.77586,                      1,                0.49401,             0.00014144,             0.00014144,             0.00014144
                     83,                0.06462,                0.78621,                      1,                0.49113,             0.00013437,             0.00013437,             0.00013437
                     84,                0.05953,                0.78621,                      1,                0.49101,             0.00012731,             0.00012731,             0.00012731
                     85,                0.06201,                0.78621,                      1,                0.48917,             0.00012024,             0.00012024,             0.00012024
                     86,                0.04948,                 0.7931,                      1,                0.53091,             0.00011317,             0.00011317,             0.00011317
                     87,                0.07761,                0.76207,                      1,                0.52031,              0.0001061,              0.0001061,              0.0001061
                     88,                0.04959,                0.78621,                      1,                0.50256,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.05942,                0.78276,                      1,                0.49291,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.05701,                    0.8,                      1,                0.56382,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.05647,                0.79655,                      1,                0.48577,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.05942,                 0.8069,                      1,                0.51849,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.05366,                0.78621,                      1,                0.51578,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.04625,                 0.8069,                      1,                 0.5661,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                 0.0447,                0.78966,                      1,                0.53519,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.05844,                0.78621,                      1,                0.53529,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.04318,                0.79655,                      1,                0.53427,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                 0.0458,                    0.8,                      1,                0.49844,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.05562,                 0.7931,                      1,                0.53538,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.06491,                0.78966,                      1,                0.49573,             1.4209e-05,             1.4209e-05,             1.4209e-05
