                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 0.7256,                 1.2442,                0.65899,                 1.0628,                0.98032,                0.77966,                0.89372,                0.65855,                0.95901,                0.76271,                0.87022,                 0.5505,                0.93451,                 2.5758,                 1.1513,                 1.1814,              0.0015446,              0.0015446,              0.0015446
                     25,                0.68586,                 1.2644,                0.63148,                 1.0729,                0.95657,                0.84746,                0.88943,                0.64016,                0.94201,                0.81356,                0.85679,                0.62325,                0.84885,                 2.1477,                 1.1676,                 1.1497,              0.0015248,              0.0015248,              0.0015248
                     26,                0.76755,                 1.3147,                0.64554,                 1.1286,                0.92805,                0.89831,                0.89656,                0.70968,                0.91348,                0.89475,                0.89683,                0.69036,                0.78251,                  1.741,                0.82779,                 1.0728,               0.001505,               0.001505,               0.001505
                     27,                0.69677,                 1.1927,                0.60978,                 1.0694,                0.97688,                0.88136,                0.88868,                 0.7189,                0.97688,                0.88136,                0.88868,                0.68933,                0.72163,                  1.572,                0.86568,                 1.0659,              0.0014852,              0.0014852,              0.0014852
                     28,                0.67201,                 1.1371,                0.59847,                 1.0727,                0.94545,                0.88135,                0.88503,                0.71509,                0.94545,                0.88135,                0.89094,                0.66531,                0.83445,                 1.7068,                0.90628,                 1.1719,              0.0014654,              0.0014654,              0.0014654
                     29,                0.69405,                 1.1036,                0.58824,                 1.0594,                 0.8923,                0.84265,                0.88136,                0.71372,                 0.8923,                0.84265,                0.87497,                 0.6387,                0.84419,                 2.2033,                0.85277,                 1.1239,              0.0014456,              0.0014456,              0.0014456
                     30,                0.70229,                 1.1733,                0.62111,                  1.064,                0.86214,                0.88136,                0.89131,                 0.7209,                0.84556,                0.86441,                0.87406,                0.61555,                0.84551,                 2.7068,                0.76999,                 1.0903,              0.0014258,              0.0014258,              0.0014258
                     31,                0.65008,                 1.0675,                0.58015,                 1.0524,                0.92772,                0.87022,                0.91003,                0.69748,                0.90974,                0.85428,                0.89177,                0.64999,                0.84058,                 1.7708,                0.74041,                 1.1604,               0.001406,               0.001406,               0.001406
                     32,                0.65038,                 1.1026,                0.57659,                 1.0563,                0.95658,                0.86441,                0.88952,                0.72698,                0.95112,                0.86441,                0.88442,                0.67259,                 0.7637,                 1.7726,                0.77324,                 1.0842,              0.0013862,              0.0013862,              0.0013862
                     33,                0.62107,                 1.0276,                0.53326,                  1.028,                0.96094,                0.88136,                0.88814,                0.73136,                0.94246,                0.86441,                0.87925,                0.66999,                0.75687,                 2.2982,                0.77432,                 1.0618,              0.0013664,              0.0013664,              0.0013664
                     34,                0.64468,                 1.1861,                0.57051,                 1.0431,                0.94757,                0.88136,                0.89347,                0.72747,                0.92935,                0.86441,                0.87972,                0.65933,                0.79173,                 2.3042,                0.82496,                 1.1741,              0.0013466,              0.0013466,              0.0013466
                     35,                0.66083,                 1.2213,                0.55751,                 1.0522,                0.96756,                0.89831,                0.89338,                0.69406,                0.94809,                0.88136,                 0.8811,                0.65387,                0.95153,                 1.8279,                0.87203,                 1.4026,              0.0013268,              0.0013268,              0.0013268
                     36,                0.66472,                 1.1188,                0.56023,                 1.0486,                0.92598,                0.88136,                 0.8826,                0.69895,                0.90817,                0.86441,                0.86785,                0.65405,                0.79452,                 1.9138,                0.98319,                  1.155,               0.001307,               0.001307,               0.001307
                     37,                0.66913,                 1.1353,                0.56715,                 1.0557,                0.92802,                0.87419,                0.89004,                0.73726,                0.94285,                0.84746,                0.87379,                0.69746,                0.66911,                 1.7604,                0.84489,                 1.0043,              0.0012872,              0.0012872,              0.0012872
                     38,                0.64242,                 1.1231,                0.54624,                 1.0224,                0.96288,                0.87937,                0.92313,                0.75365,                0.96192,                0.85647,                0.90634,                0.73071,                0.70868,                 1.5666,                0.67645,                   1.03,              0.0012674,              0.0012674,              0.0012674
                     39,                 0.5947,                0.96135,                0.49711,                 1.0169,                0.91294,                0.86441,                0.90979,                0.71998,                0.91294,                0.86441,                0.91125,                0.68272,                0.83752,                 1.6667,                0.67875,                 1.1674,              0.0012476,              0.0012476,              0.0012476
                     40,                0.63918,                 1.0339,                0.53445,                 1.0229,                0.86698,                0.91525,                0.91952,                0.72471,                0.85092,                0.89831,                0.90996,                0.67656,                0.87224,                  1.584,                0.85512,                 1.1928,              0.0012278,              0.0012278,              0.0012278
                     41,                0.64891,                 1.0815,                0.55432,                 1.0418,                0.91143,                0.89831,                0.91078,                0.74594,                0.91143,                0.89831,                0.91036,                0.70487,                0.75281,                 1.5051,                0.84222,                 1.0419,               0.001208,               0.001208,               0.001208
                     42,                0.60626,                 0.9981,                 0.5245,                 1.0177,                0.91202,                0.89831,                0.89944,                0.75566,                0.91202,                0.89831,                0.89908,                0.69218,                0.65793,                 1.6419,                0.76462,                0.97154,              0.0011882,              0.0011882,              0.0011882
                     43,                0.61011,                 1.0517,                0.52302,                 1.0263,                0.92965,                0.89592,                0.89336,                 0.7531,                0.92965,                0.89592,                0.89336,                0.70576,                0.69609,                 1.5409,                0.74224,                 1.0207,              0.0011684,              0.0011684,              0.0011684
                     44,                0.61795,                 0.9969,                0.50961,                 1.0401,                0.94182,                0.88136,                0.89954,                0.72828,                 0.9453,                0.84746,                 0.8859,                0.68763,                0.78601,                 1.5345,                0.70245,                 1.1072,              0.0011486,              0.0011486,              0.0011486
                     45,                0.55244,                0.94478,                 0.4884,                0.99129,                0.95862,                0.88136,                0.88713,                0.69854,                 0.9594,                0.86441,                0.86826,                0.67579,                0.79552,                 1.4862,                 0.6501,                 1.1822,              0.0011288,              0.0011288,              0.0011288
                     46,                0.59359,                 1.1138,                0.48797,                 1.0147,                0.96556,                0.86441,                0.89767,                0.72129,                0.96556,                0.86441,                0.87735,                0.66326,                0.78522,                 1.6098,                0.71314,                 1.1397,               0.001109,               0.001109,               0.001109
                     47,                 0.5821,                 0.9446,                0.48368,                 1.0161,                0.97026,                0.88136,                0.90445,                0.73454,                0.97026,                0.88136,                0.90329,                0.70869,                  0.749,                 1.5179,                0.91006,                 1.0935,              0.0010892,              0.0010892,              0.0010892
                     48,                0.58427,                0.95448,                0.48543,                 1.0066,                0.99656,                0.89831,                0.91932,                0.76536,                0.97759,                0.88136,                0.90557,                0.72286,                 0.6775,                 1.4973,                0.57965,                 1.0375,              0.0010694,              0.0010694,              0.0010694
                     49,                0.56678,                0.93763,                0.48467,                  1.001,                0.99268,                0.89831,                0.94028,                0.75469,                0.98087,                0.88136,                0.93873,                0.73977,                0.66473,                 1.3423,                0.63142,                 1.0296,              0.0010496,              0.0010496,              0.0010496
                     50,                0.55431,                0.90902,                0.48028,                0.98773,                0.91957,                0.89831,                0.92996,                0.78094,                 0.9867,                0.84746,                0.92768,                0.75517,                 0.6354,                 1.3088,                0.59548,                0.96606,              0.0010298,              0.0010298,              0.0010298
                     51,                0.57487,                0.95899,                0.48245,                 1.0013,                0.94224,                0.88136,                0.92296,                0.75948,                0.92824,                0.87705,                0.91881,                0.72698,                0.67055,                 1.3687,                0.64015,                 1.0045,                0.00101,                0.00101,                0.00101
                     52,                0.55666,                 0.8581,                 0.4601,                 1.0031,                0.98048,                0.86441,                 0.9253,                0.76865,                0.98048,                0.86441,                0.90795,                0.73527,                0.65033,                 1.3213,                0.65222,                 0.9691,              0.0009902,              0.0009902,              0.0009902
                     53,                0.57513,                0.93472,                0.48635,                 1.0005,                0.92572,                0.88136,                0.91847,                0.78468,                0.92937,                0.89218,                0.91701,                 0.7421,                0.58093,                 1.3572,                0.61626,                0.92552,              0.0009704,              0.0009704,              0.0009704
                     54,                0.57688,                0.93712,                 0.4686,                0.99375,                0.96263,                0.87335,                0.91251,                0.78566,                 0.9308,                0.91194,                 0.9172,                0.74132,                0.59266,                 1.3439,                0.61627,                0.93484,              0.0009506,              0.0009506,              0.0009506
                     55,                0.56491,                0.92537,                0.45467,                 1.0135,                0.96341,                0.89262,                0.91726,                0.77446,                0.94512,                0.87567,                0.89943,                0.74672,                0.59529,                  1.484,                0.58913,                0.94119,              0.0009308,              0.0009308,              0.0009308
                     56,                0.55742,                 0.9005,                0.45266,                0.98889,                0.99772,                0.89831,                 0.9042,                0.75861,                0.97883,                0.88136,                0.90052,                0.70916,                0.69165,                 1.6669,                0.59394,                 1.0415,               0.000911,               0.000911,               0.000911
                     57,                0.54035,                0.87504,                0.45773,                0.99125,                0.99946,                0.89831,                0.89757,                0.75586,                0.98035,                0.88136,                0.88831,                0.69362,                0.72317,                  1.729,                0.60187,                 1.1016,              0.0008912,              0.0008912,              0.0008912
                     58,                0.53736,                0.94582,                0.45233,                0.98711,                0.97822,                0.89831,                0.89859,                0.74309,                0.97822,                0.89831,                0.90329,                0.70685,                0.68431,                 1.5828,                 0.6155,                 1.0907,              0.0008714,              0.0008714,              0.0008714
