                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3946,                0.37097,                      1,                 1.3643,             0.00023422,             0.00023422,             0.00023422
                      2,                 1.2478,                0.45161,                      1,                 1.3055,             0.00046755,             0.00046755,             0.00046755
                      3,                 1.0715,                0.51613,                      1,                 1.2541,             0.00069616,             0.00069616,             0.00069616
                      4,                0.92776,                0.56048,                      1,                 1.2122,             0.00069279,             0.00069279,             0.00069279
                      5,                 0.8835,                0.56048,                      1,                  1.187,             0.00068573,             0.00068573,             0.00068573
                      6,                0.73773,                0.60484,                      1,                 1.1703,             0.00067866,             0.00067866,             0.00067866
                      7,                0.68288,                0.65726,                      1,                 1.1274,             0.00067159,             0.00067159,             0.00067159
                      8,                0.62083,                0.56048,                      1,                 1.1641,             0.00066452,             0.00066452,             0.00066452
                      9,                0.56601,                  0.625,                      1,                 1.1306,             0.00065745,             0.00065745,             0.00065745
                     10,                0.49345,                0.53226,                      1,                  1.183,             0.00065038,             0.00065038,             0.00065038
                     11,                 0.4665,                0.61694,                      1,                 1.1429,             0.00064331,             0.00064331,             0.00064331
                     12,                0.44576,                0.61694,                      1,                 1.1375,             0.00063625,             0.00063625,             0.00063625
                     13,                0.39806,                0.65726,                      1,                 1.1133,             0.00062918,             0.00062918,             0.00062918
                     14,                0.36182,                0.67339,                      1,                 1.0944,             0.00062211,             0.00062211,             0.00062211
                     15,                0.35499,                0.67742,                      1,                  1.096,             0.00061504,             0.00061504,             0.00061504
                     16,                0.33571,                0.65323,                      1,                 1.0923,             0.00060797,             0.00060797,             0.00060797
                     17,                 0.3235,                0.64113,                      1,                 1.1084,              0.0006009,              0.0006009,              0.0006009
                     18,                0.29231,                0.67742,                      1,                 1.0869,             0.00059383,             0.00059383,             0.00059383
                     19,                0.31989,                0.66129,                      1,                 1.0903,             0.00058677,             0.00058677,             0.00058677
                     20,                 0.2812,                0.61694,                      1,                 1.1001,              0.0005797,              0.0005797,              0.0005797
                     21,                0.26475,                0.64919,                      1,                 1.0879,             0.00057263,             0.00057263,             0.00057263
                     22,                0.26487,                0.65323,                      1,                 1.0941,             0.00056556,             0.00056556,             0.00056556
                     23,                0.26291,                  0.625,                      1,                 1.0993,             0.00055849,             0.00055849,             0.00055849
                     24,                0.22496,                0.66532,                      1,                 1.0783,             0.00055142,             0.00055142,             0.00055142
                     25,                0.20029,                  0.625,                      1,                 1.0948,             0.00054435,             0.00054435,             0.00054435
                     26,                0.25187,                0.66935,                      1,                 1.0724,             0.00053728,             0.00053728,             0.00053728
                     27,                 0.2055,                0.64113,                      1,                 1.0876,             0.00053022,             0.00053022,             0.00053022
                     28,                0.19731,                0.66532,                      1,                 1.0776,             0.00052315,             0.00052315,             0.00052315
                     29,                0.20087,                0.69355,                      1,                 1.0599,             0.00051608,             0.00051608,             0.00051608
                     30,                0.16409,                0.67339,                      1,                 1.0814,             0.00050901,             0.00050901,             0.00050901
                     31,                0.17636,                  0.625,                      1,                  1.107,             0.00050194,             0.00050194,             0.00050194
                     32,                0.19048,                0.64113,                      1,                 1.0996,             0.00049487,             0.00049487,             0.00049487
                     33,                 0.1678,                0.69355,                      1,                 1.0706,              0.0004878,              0.0004878,              0.0004878
                     34,                0.15377,                0.70161,                      1,                   1.06,             0.00048074,             0.00048074,             0.00048074
                     35,                0.17045,                0.64919,                      1,                 1.0881,             0.00047367,             0.00047367,             0.00047367
                     36,                0.16417,                0.64919,                      1,                 1.0719,              0.0004666,              0.0004666,              0.0004666
                     37,                0.15659,                0.64113,                      1,                  1.082,             0.00045953,             0.00045953,             0.00045953
                     38,                0.13498,                0.65726,                      1,                 1.0829,             0.00045246,             0.00045246,             0.00045246
                     39,                0.14884,                0.66532,                      1,                 1.0704,             0.00044539,             0.00044539,             0.00044539
                     40,                0.15368,                0.66532,                      1,                 1.0734,             0.00043832,             0.00043832,             0.00043832
                     41,                0.15188,                0.66532,                      1,                  1.068,             0.00043126,             0.00043126,             0.00043126
                     42,                 0.1289,                0.66935,                      1,                 1.0634,             0.00042419,             0.00042419,             0.00042419
                     43,                0.11687,                0.66935,                      1,                 1.0602,             0.00041712,             0.00041712,             0.00041712
                     44,                0.11653,                0.67339,                      1,                  1.065,             0.00041005,             0.00041005,             0.00041005
                     45,                0.09988,                0.67742,                      1,                 1.0724,             0.00040298,             0.00040298,             0.00040298
                     46,                0.13591,                0.66532,                      1,                 1.0756,             0.00039591,             0.00039591,             0.00039591
                     47,                0.10544,                0.65726,                      1,                 1.0686,             0.00038884,             0.00038884,             0.00038884
                     48,                0.12941,                0.66129,                      1,                 1.0734,             0.00038178,             0.00038178,             0.00038178
                     49,                0.13022,                0.64113,                      1,                  1.088,             0.00037471,             0.00037471,             0.00037471
                     50,                0.11474,                0.66935,                      1,                 1.0593,             0.00036764,             0.00036764,             0.00036764
                     51,                 0.1187,                0.70968,                      1,                 1.0574,             0.00036057,             0.00036057,             0.00036057
                     52,                0.09384,                0.66935,                      1,                 1.0675,              0.0003535,              0.0003535,              0.0003535
                     53,                0.12652,                0.66935,                      1,                 1.0691,             0.00034643,             0.00034643,             0.00034643
