                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.12638,                  0.625,                0.99167,                 1.4116,             0.00027575,             0.00027575,             0.00027575
                     64,                0.11514,                  0.625,                0.99167,                 1.4237,             0.00026868,             0.00026868,             0.00026868
                     65,                0.12945,                0.64583,                0.98333,                 1.4131,             0.00026161,             0.00026161,             0.00026161
                     66,                0.09656,                0.64167,                 0.9875,                 1.4045,             0.00025454,             0.00025454,             0.00025454
                     67,                0.14072,                0.61667,                0.98333,                 1.4276,             0.00024747,             0.00024747,             0.00024747
                     68,                0.08253,                 0.6375,                 0.9875,                 1.4043,              0.0002404,              0.0002404,              0.0002404
                     69,                 0.1165,                0.62083,                 0.9875,                 1.4205,             0.00023334,             0.00023334,             0.00023334
                     70,                 0.1155,                    0.6,                0.99167,                 1.4353,             0.00022627,             0.00022627,             0.00022627
                     71,                0.08277,                0.60833,                0.97917,                 1.4309,              0.0002192,              0.0002192,              0.0002192
                     72,                0.09345,                0.62917,                0.98333,                 1.4167,             0.00021213,             0.00021213,             0.00021213
                     73,                0.12127,                0.62917,                0.99167,                 1.4264,             0.00020506,             0.00020506,             0.00020506
                     74,                0.10312,                0.62083,                0.98333,                 1.4227,             0.00019799,             0.00019799,             0.00019799
                     75,                0.09566,                0.62917,                  0.975,                 1.4109,             0.00019092,             0.00019092,             0.00019092
                     76,                0.08442,                0.62083,                0.98333,                 1.4226,             0.00018385,             0.00018385,             0.00018385
                     77,                 0.0845,                 0.6375,                0.97917,                 1.4252,             0.00017679,             0.00017679,             0.00017679
                     78,                0.11329,                0.60833,                0.97917,                 1.4254,             0.00016972,             0.00016972,             0.00016972
                     79,                0.10831,                    0.6,                0.98333,                 1.4329,             0.00016265,             0.00016265,             0.00016265
                     80,                0.09616,                 0.6125,                0.98333,                 1.4269,             0.00015558,             0.00015558,             0.00015558
                     81,                0.06778,                0.60833,                0.98333,                 1.4155,             0.00014851,             0.00014851,             0.00014851
                     82,                0.07948,                    0.6,                0.98333,                  1.426,             0.00014144,             0.00014144,             0.00014144
                     83,                0.08767,                 0.5875,                0.97917,                 1.4451,             0.00013437,             0.00013437,             0.00013437
                     84,                0.08452,                0.58333,                0.97917,                 1.4363,             0.00012731,             0.00012731,             0.00012731
                     85,                0.11253,                0.59583,                0.97917,                 1.4287,             0.00012024,             0.00012024,             0.00012024
                     86,                0.08226,                 0.6125,                0.98333,                 1.4236,             0.00011317,             0.00011317,             0.00011317
                     87,                 0.0755,                  0.625,                0.98333,                  1.421,              0.0001061,              0.0001061,              0.0001061
                     88,                0.08158,                0.61667,                0.98333,                 1.4111,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.06843,                0.62083,                0.98333,                 1.4182,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.06674,                0.62917,                0.97917,                 1.4118,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                  0.087,                 0.6375,                 0.9875,                 1.4224,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.06115,                0.64583,                 0.9875,                 1.4095,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                 0.0873,                0.64583,                 0.9875,                 1.4019,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.09067,                 0.6375,                0.99167,                 1.4096,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.07096,                0.64167,                0.98333,                 1.4093,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.06793,                0.64167,                0.98333,                  1.402,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                 0.0694,                0.64167,                0.98333,                 1.4104,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.07603,                0.64167,                0.98333,                 1.4261,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.06406,                 0.6375,                0.97917,                 1.4182,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.05952,                0.63333,                  0.975,                 1.4137,             1.4209e-05,             1.4209e-05,             1.4209e-05
