                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69596,                0.57895,                      1,                0.67353,             0.00023304,             0.00023304,             0.00023304
                      2,                0.61788,                0.69474,                      1,                0.61592,             0.00046638,             0.00046638,             0.00046638
                      3,                0.56969,                0.73684,                      1,                0.59302,               0.000695,               0.000695,               0.000695
                      4,                0.51493,                0.75789,                      1,                0.56603,             0.00069279,             0.00069279,             0.00069279
                      5,                0.43051,                0.81053,                      1,                0.53021,             0.00068573,             0.00068573,             0.00068573
                      6,                0.41574,                0.81053,                      1,                0.52653,             0.00067866,             0.00067866,             0.00067866
                      7,                0.33889,                0.73158,                      1,                0.55492,             0.00067159,             0.00067159,             0.00067159
                      8,                0.33424,                0.76842,                      1,                0.54096,             0.00066452,             0.00066452,             0.00066452
                      9,                0.32041,                0.65263,                      1,                0.62821,             0.00065745,             0.00065745,             0.00065745
                     10,                0.29701,                0.77368,                      1,                 0.5462,             0.00065038,             0.00065038,             0.00065038
                     11,                0.27771,                0.78421,                      1,                0.53403,             0.00064331,             0.00064331,             0.00064331
                     12,                0.24337,                    0.8,                      1,                0.51088,             0.00063625,             0.00063625,             0.00063625
                     13,                0.23024,                0.78947,                      1,                0.52051,             0.00062918,             0.00062918,             0.00062918
                     14,                0.21336,                0.75789,                      1,                0.53768,             0.00062211,             0.00062211,             0.00062211
                     15,                0.20127,                0.72105,                      1,                0.56165,             0.00061504,             0.00061504,             0.00061504
                     16,                0.19932,                0.77368,                      1,                 0.5384,             0.00060797,             0.00060797,             0.00060797
                     17,                0.20579,                0.76842,                      1,                0.53111,              0.0006009,              0.0006009,              0.0006009
                     18,                0.21585,                0.76842,                      1,                0.52692,             0.00059383,             0.00059383,             0.00059383
                     19,                0.19918,                0.77895,                      1,                0.52933,             0.00058677,             0.00058677,             0.00058677
                     20,                0.18303,                0.78947,                      1,                0.51614,              0.0005797,              0.0005797,              0.0005797
                     21,                0.15146,                0.77368,                      1,                0.51225,             0.00057263,             0.00057263,             0.00057263
                     22,                0.15594,                    0.8,                      1,                 0.5186,             0.00056556,             0.00056556,             0.00056556
                     23,                0.14728,                0.79474,                      1,                0.51835,             0.00055849,             0.00055849,             0.00055849
                     24,                0.14296,                0.78421,                      1,                0.52061,             0.00055142,             0.00055142,             0.00055142
                     25,                0.15265,                0.75263,                      1,                0.52998,             0.00054435,             0.00054435,             0.00054435
                     26,                 0.1473,                0.83158,                      1,                 0.4957,             0.00053728,             0.00053728,             0.00053728
                     27,                0.12393,                0.81579,                      1,                0.50297,             0.00053022,             0.00053022,             0.00053022
