                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.04097,                0.72308,                      1,                0.57099,             0.00024747,             0.00024747,             0.00024747
                     68,                0.07398,                0.76154,                      1,                0.51868,              0.0002404,              0.0002404,              0.0002404
                     69,                0.04531,                0.74231,                      1,                0.54045,             0.00023334,             0.00023334,             0.00023334
                     70,                0.03127,                0.72308,                      1,                0.58487,             0.00022627,             0.00022627,             0.00022627
                     71,                0.03268,                0.74615,                      1,                0.53335,              0.0002192,              0.0002192,              0.0002192
                     72,                0.06281,                0.73077,                      1,                0.57442,             0.00021213,             0.00021213,             0.00021213
                     73,                0.04457,                0.73077,                      1,                0.55122,             0.00020506,             0.00020506,             0.00020506
                     74,                0.03555,                0.76154,                      1,                0.53217,             0.00019799,             0.00019799,             0.00019799
                     75,                0.03442,                0.76154,                      1,                0.56522,             0.00019092,             0.00019092,             0.00019092
                     76,                0.03348,                0.75769,                      1,                0.53976,             0.00018385,             0.00018385,             0.00018385
                     77,                0.04258,                0.75769,                      1,                0.52994,             0.00017679,             0.00017679,             0.00017679
                     78,                 0.0398,                0.76923,                      1,                0.55836,             0.00016972,             0.00016972,             0.00016972
                     79,                0.03288,                0.75769,                      1,                0.55675,             0.00016265,             0.00016265,             0.00016265
                     80,                0.02957,                0.73846,                      1,                0.53808,             0.00015558,             0.00015558,             0.00015558
                     81,                0.02941,                0.73077,                      1,                0.58055,             0.00014851,             0.00014851,             0.00014851
                     82,                0.03327,                0.76923,                      1,                0.52696,             0.00014144,             0.00014144,             0.00014144
                     83,                0.03911,                0.75769,                      1,                0.53009,             0.00013437,             0.00013437,             0.00013437
                     84,                 0.0258,                0.74231,                      1,                0.57469,             0.00012731,             0.00012731,             0.00012731
                     85,                0.02225,                0.76154,                      1,                0.56457,             0.00012024,             0.00012024,             0.00012024
                     86,                0.03925,                0.76538,                      1,                0.54976,             0.00011317,             0.00011317,             0.00011317
                     87,                0.03811,                0.77308,                      1,                0.54843,              0.0001061,              0.0001061,              0.0001061
                     88,                0.04075,                0.74231,                      1,                0.59638,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.02483,                0.74231,                      1,                  0.563,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.02775,                0.75769,                      1,                0.57482,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                 0.0258,                0.72308,                      1,                0.58058,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.02535,                0.70769,                      1,                0.58215,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.02811,                0.74231,                      1,                0.55806,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.03421,                0.75385,                      1,                0.60955,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.02731,                   0.75,                      1,                0.53558,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.03024,                0.74615,                      1,                0.55972,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.03248,                   0.75,                      1,                0.60617,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                 0.0199,                0.76538,                      1,                0.54731,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.02997,                0.75385,                      1,                0.56012,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.02942,                   0.75,                      1,                0.58339,             1.4209e-05,             1.4209e-05,             1.4209e-05
