                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.08506,                0.83684,                      1,                0.46704,             0.00024747,             0.00024747,             0.00024747
                     68,                0.05893,                0.85263,                      1,                0.45798,              0.0002404,              0.0002404,              0.0002404
                     69,                0.04809,                0.81053,                      1,                0.47964,             0.00023334,             0.00023334,             0.00023334
                     70,                0.05636,                0.83684,                      1,                0.46183,             0.00022627,             0.00022627,             0.00022627
                     71,                0.04999,                0.84211,                      1,                0.45749,              0.0002192,              0.0002192,              0.0002192
                     72,                 0.0453,                0.86316,                      1,                0.45318,             0.00021213,             0.00021213,             0.00021213
                     73,                0.05325,                0.82105,                      1,                0.46472,             0.00020506,             0.00020506,             0.00020506
                     74,                0.04943,                0.81579,                      1,                0.47001,             0.00019799,             0.00019799,             0.00019799
                     75,                0.05943,                0.83684,                      1,                0.46857,             0.00019092,             0.00019092,             0.00019092
                     76,                0.05948,                0.83684,                      1,                0.46199,             0.00018385,             0.00018385,             0.00018385
                     77,                0.06902,                0.84737,                      1,                0.46386,             0.00017679,             0.00017679,             0.00017679
                     78,                0.06755,                0.83684,                      1,                0.46844,             0.00016972,             0.00016972,             0.00016972
                     79,                0.05062,                0.82105,                      1,                0.47387,             0.00016265,             0.00016265,             0.00016265
                     80,                0.05138,                0.84211,                      1,                0.46962,             0.00015558,             0.00015558,             0.00015558
                     81,                0.06066,                0.83684,                      1,                0.45867,             0.00014851,             0.00014851,             0.00014851
                     82,                0.04742,                0.84737,                      1,                0.45679,             0.00014144,             0.00014144,             0.00014144
                     83,                0.05138,                0.84211,                      1,                0.46004,             0.00013437,             0.00013437,             0.00013437
                     84,                 0.0443,                0.83684,                      1,                0.46694,             0.00012731,             0.00012731,             0.00012731
                     85,                0.06065,                0.85789,                      1,                0.45564,             0.00012024,             0.00012024,             0.00012024
                     86,                0.05127,                0.85789,                      1,                0.45866,             0.00011317,             0.00011317,             0.00011317
                     87,                 0.0578,                0.86316,                      1,                0.45016,              0.0001061,              0.0001061,              0.0001061
                     88,                0.03819,                0.86316,                      1,                0.45385,             9.9032e-05,             9.9032e-05,             9.9032e-05
